Time,Distance
82.9,148.49
83,141.06
83.03333333,139.03
83.1,139.06
83.13333333,140.03
83.26666667,163.03
83.4,160.15
83.43333333,161.08
83.46666667,160.03
83.5,158.03
83.53333333,160
83.56666667,159
83.6,157.05
83.63333333,156.05
83.66666667,158.01
83.7,157.03
83.73333333,160
83.76666667,158.03
83.8,162.11
83.86666667,167.24
83.9,166.03
83.93333333,164.03
83.96666667,162.08
84,162.11
84.03333333,159.01
84.06666667,158.01
84.1,160.05
84.13333333,162.44
84.26666667,166.24
84.33333333,162.01
84.36666667,163.03
84.4,163.01
84.43333333,163.08
84.46666667,165.03
84.5,164
84.53333333,163.03
84.56666667,164.05
84.6,165.03
84.63333333,167.05
84.66666667,167.07
84.7,163.05
84.73333333,163.03
84.76666667,163.01
84.8,163.01
84.83333333,162
85,159.53
85.06666667,155.03
85.13333333,155.21
85.16666667,157.81
85.66666667,149.75
85.86666667,148.22
86,162.08
86.03333333,160
86.06666667,159.08
86.1,157.11
86.13333333,158.05
86.16666667,157
86.2,157
86.23333333,156.01
86.26666667,154.21
86.3,154.73
86.33333333,154.57
86.63333333,141.57
86.7,142.71
86.9,140.58
86.93333333,139.59
86.96666667,138.31
87,139.3
87.1,138.45
87.13333333,138.76
87.16666667,138.76
87.2,138.92
87.23333333,139.09
87.6,157.01
87.66666667,158.38
87.7,157.54
87.73333333,158.71
87.76666667,157.81
87.8,158.62
87.83333333,156.54
87.86666667,156.39
87.9,155.32
87.93333333,156.39
87.96666667,154.26
88,154.16
88.03333333,151.05
88.06666667,150
88.1,146.22
88.13333333,142.86
88.16666667,142.17
88.2,139.09
88.46666667,150.33
88.5,151.21
88.53333333,153.21
88.56666667,154.26
88.6,156.2
88.63333333,156.12
88.66666667,156.08
88.73333333,156.01
88.76666667,156.05
88.83333333,157.05
89.1,156.08
89.13333333,151.21
89.16666667,150.56
89.2,152.64
89.23333333,150.08
89.26666667,150.27
89.3,153.83
89.46666667,152.61
89.5,152.35
89.53333333,152.35
89.56666667,152.61
89.6,152.61
89.76666667,147.73
89.8,146.33
89.83333333,146.24
89.86666667,149.09
89.93333333,152.4
90.1,149.57
90.13333333,148.57
90.16666667,148.76
90.2,147.87
90.23333333,146.24
90.26666667,148.64
90.6,167.05
90.63333333,165.11
90.66666667,161.15
90.7,161.25
90.73333333,161.31
90.76666667,161.31
90.8,160.25
90.83333333,159.25
90.86666667,159.2
90.9,158.11
90.93333333,158.08
90.96666667,157.05
91,158.03
91.03333333,157.03
91.06666667,155.21
91.5,158.15
91.53333333,158.81
91.56666667,161.68
91.6,160.06
91.63333333,158.24
91.66666667,158.93
91.7,159.36
91.73333333,156.68
91.76666667,156.95
91.8,156.52
91.83333333,154.56
91.86666667,153.81
92.03333333,153.59
92.06666667,151.86
92.1,154.99
92.13333333,155.08
92.26666667,165.06
92.3,162.93
92.33333333,161.11
92.36666667,159.48
92.4,158.15
92.43333333,157.99
92.46666667,158.4
92.5,158.26
92.7,159.11
92.73333333,158.86
92.76666667,159.59
92.8,159.35
